"sample","Biosynthesis","Degradation","Structure","metabolic_function","richness.y","neutral.y","phylo.y","mapped.y","total.y","metabolic_capacity","richness","neutral","phylo","mapped","total","sampleID","captureID","specimen","animal","sample_type","species","order","development","sampling_areaEHI","sampling_date","country","geographic_location","latitude","longitude","n_extractions","n_libraries","n_indexed_libraries","n_sequenced_datasets","host_data","metagenomic_data","n_MAGs","sex","bm","repro","sampling_site","area_type","macroarea","metapop","index200","index500","x","y","month","year","season","singlem_fraction","reads_post_fastp","host_reads","reads_lost_fastp_percent","metagenomic_bases","host_bases","bases_lost_fastp_percent","diversity","C"
"EHI00142",0.303499713446172,0.1586392674754,0.331429809820978,0.231069490460786,1644,102.82,3.901,3.194,4.656,0.572615584195232,1644,102.82,3.901,3.194,4.656,"ABB05","SD0031601","SD00316","4919","Faecal","Sciurus carolinensis","Rodentia","Adult","Piobesi",2021-03-23,"Italy","Piedmont, Piobesi",4494,759,1,1,1,1,"0.125","3.77",720,"M",490,"nonbreeding","Piobesi","rural","PIO","PR","0.2","0.188",7593432,44937589,3,2021,"spring-summer","0.6993",28076214,1230876,"0.0955411899309078",3769807332,124776720,"0.163588353380793",181100796536544,"0.871971118141036"
"EHI00144",0.359796046640305,0.173539816513215,0.371509826598113,0.26666793157676,1650,255.783,8.13,2.633,4.448,0.657172472019558,1650,255.783,8.13,2.633,4.448,"ABB26","SD0041201","SD00412","5762","Faecal","Sciurus carolinensis","Rodentia","Adult","Piobesi",2021-03-23,"Italy","Piedmont, Piobesi",4494,759,1,1,1,1,"0.79","3.235",732,"M",510,"nonbreeding","Piobesi","rural","PIO","PR","0.2","0.188",7593432,44937589,3,2021,"spring-summer","0.6645",28297524,5785566,"0.0456384593192924",3234959778,789953139,"0.0950392944688258",194353547837398,"0.775981458520832"
"EHI00161",0.35174825400735,0.166898247500878,0.326166671404003,0.259323250754114,1652,242.493,7.883,2.524,3.368,0.627368725309562,1652,242.493,7.883,2.524,3.368,"AAV40","SD0042102","SD00421","5772","Faecal","Sciurus carolinensis","Rodentia","Adult","commande",2020-12-22,"Italy","Piedmont, commande",4484,777,1,1,1,1,"0.043","2.987",410,"M",565,"nonbreeding","commande","suburban","COM","COM","0.2","0.2",7766891,44838837,12,2020,"winter","0.6824",21363430,350322,"0.0484725403245239",2987437558,42648626,"0.100266137270005",19339269477016,"0.790376529011625"
"EHI00169",0.338677875887974,0.16536778017184,0.345862768043922,0.252022828029907,1656,211.425,8.485,2.734,3.763,0.619333245407788,1656,211.425,8.485,2.734,3.763,"AAU91","SD0034202","SD00342","5605","Faecal","Sciurus carolinensis","Rodentia","Adult","Piobesi",2020-12-09,"Italy","Piedmont, Piobesi",4494,759,1,1,1,1,"0.261","3.252",732,"M",580,"nonbreeding","Piobesi","rural","PIO","PR","0.2","0.188",7593432,44937589,12,2020,"winter","0.6859",24502860,1777338,"0.0232658814375211",3251892132,260619106,"0.0665607829756113",192481109614039,"0.785683789205491"
"EHI00276",0.357616389135364,0.180562777988265,0.345837287296793,0.269089583561815,1621,180.595,5.583,2.231,3.015,0.653458262889227,1621,180.595,5.583,2.231,3.015,"AAA57","SD0036601","SD00366","5646","Faecal","Sciurus carolinensis","Rodentia","Adult","RS",2020-10-12,"Italy","Piedmont, RS",4495,76,1,1,1,1,"0.112","2.644",298,"M",600,"nonbreeding","RS","suburban","RS","PR","0.2","0.224",7594981,44950145,10,2020,"autumn","0.7498",18754970,772424,"0.0669518234939668",2643618639,111939479,"0.0860845677150122",188010486675437,"0.824056473971687"
"EHI00361",0.348733926043143,0.183038651691608,0.376906604298729,0.265886288867376,1120,7.962,1.475,11.077,28.371,0.657408112500995,1120,7.962,1.475,11.077,28.371,"AEL24","SD0177701","SD01777","4303","Faecal","Sciurus vulgaris","Rodentia","Adult","Varese",2021-10-25,"Italy","Lombardy, Varese",4583,883,1,1,1,1,"8.05","18.975",308,"F",325,"nonbreeding","Ville Ponti","urban","VAU","VA","0.842","0.876",8831966,45825571,10,2021,"autumn","0.7739",184338680,54672696,"0.0253745041410566",18974916774,8049504870,"0.0474529330077058",174421377991582,"0.796607658953976"
"EHI00363",0.314172302303253,0.134112079831933,0.269396734099103,0.224142191067593,1093,5.951,2.043,2.489,5.18,0.538083293501554,1093,5.951,2.043,2.489,5.18,"ADV74","SD0175201","SD01752","4307","Faecal","Sciurus vulgaris","Rodentia","Nursing","Varese",2021-09-28,"Italy","Lombardy, Varese",4583,88,1,1,1,1,"1.097","3.513",295,"F",395,"lactating","Villa Baragiola","urban","VAU","VA","0.723","0.714",8798065,45832156,9,2021,"autumn","0.6596",32521760,7974650,"0.0581628822038677",3512518735,1097275030,"0.109995917961352",155622739892921,"0.921546527888742"
"EHI00365",0.344683663805209,0.166891024875837,0.348479997496462,0.255787344340523,1614,114.995,4.578,3.262,4.69,0.627734687846534,1614,114.995,4.578,3.262,4.69,"ABC26","SD0032601","SD00326","4940","Faecal","Sciurus vulgaris","Rodentia","Nursing","Gallarate",2021-04-14,"Italy","Lombardy, Gallarate",4566,878,1,1,1,1,"0.237","4.066",376,"F",380,"lactating","Bassetti","urban","GAL","GAL","0.806","0.844",8781401,45661555,4,2021,"spring-summer","0.7284",29282278,1643596,"0.0634232543382072",4065610660,236517553,"0.0826594294448165",186860845264654,"0.883917620301825"
"EHI00367",0.307995823951978,0.11846349628902,0.243914708441869,0.213229660120499,717,3.946,1.581,1.417,4.154,0.507764223054954,717,3.946,1.581,1.417,4.154,"ADV69","SD0169102","SD01691","5702","Faecal","Sciurus vulgaris","Rodentia","Adult","Varese",2021-09-27,"Italy","Lombardy, Varese",4583,88,1,1,1,1,"0.021","3.961",295,"M",345,"nonbreeding","Villa Baragiola","urban","VAU","VA","0.723","0.714",8798065,45832156,9,2021,"autumn","0.6181",27152266,148844,"0.019469365940328",3960874993,21401095,"0.0412724797831336",184734774406312,"0.672239672272262"
"EHI00368",0.282852138851212,0.120646905327224,0.235131858148246,0.201749522089218,689,6.926,2.415,1.442,4.176,0.481876330227851,689,6.926,2.415,1.442,4.176,"ADV43","SD0175301","SD01753","4312","Faecal","Sciurus vulgaris","Rodentia","Adult","Varese",2021-09-30,"Italy","Lombardy, Varese",4583,88,1,1,1,1,"1.481","1.937",295,"F",335,"nonbreeding","Villa Baragiola","urban","VAU","VA","0.723","0.714",8798065,45832156,9,2021,"autumn","0.6107",25516878,11431884,"0.0835192798051249",1936874821,1481449409,"0.181501683664699",15503053737238,"0.975115778343057"
