"Trait","Species","Correlation","P_value","Significance"
"B01","Sciurus carolinensis",-0.00817,0.94267,""
"B01","Sciurus vulgaris",0.43333,2.2613e-06,"*"
"B02","Sciurus carolinensis",0.06824,0.54755,""
"B02","Sciurus vulgaris",0.24259,0.010663,"*"
"B03","Sciurus carolinensis",0.09782,0.388,""
"B03","Sciurus vulgaris",0.3404,0.0002741,"*"
"B04","Sciurus carolinensis",0.20613,0.066589,""
"B04","Sciurus vulgaris",0.17806,0.062728,""
"B06","Sciurus carolinensis",0.26746,0.016466,"*"
"B06","Sciurus vulgaris",0.2811,0.0029323,"*"
"B07","Sciurus carolinensis",0.02778,0.80677,""
"B07","Sciurus vulgaris",0.26586,0.0049969,"*"
"B08","Sciurus carolinensis",0.15471,0.1706,""
"B08","Sciurus vulgaris",0.16011,0.094746,""
"B09","Sciurus carolinensis",0.2653,0.017391,"*"
"B09","Sciurus vulgaris",0.58189,2.614e-11,"*"
"B10","Sciurus carolinensis",0.30115,0.0066372,"*"
"B10","Sciurus vulgaris",0.02526,0.79333,""
"B11","Sciurus carolinensis",0.29771,0.0073192,"*"
"B11","Sciurus vulgaris",-0.03174,0.74204,""
"D01","Sciurus carolinensis",-0.09,0.42722,""
"D01","Sciurus vulgaris",0.29886,0.0015168,"*"
"D02","Sciurus carolinensis",-0.29734,0.0073946,"*"
"D02","Sciurus vulgaris",0.19136,0.04522,"*"
"D03","Sciurus carolinensis",-0.0018,0.98732,""
"D03","Sciurus vulgaris",0.45484,5.9779e-07,"*"
"D05","Sciurus carolinensis",-0.18896,0.093214,""
"D05","Sciurus vulgaris",0.29279,0.0019089,"*"
"D06","Sciurus carolinensis",0.09978,0.37853,""
"D06","Sciurus vulgaris",0.23837,0.012149,"*"
"D07","Sciurus carolinensis",-0.31913,0.00391,"*"
"D07","Sciurus vulgaris",0.0726,0.45103,""
"D08","Sciurus carolinensis",0.017,0.88106,""
"D08","Sciurus vulgaris",-0.01766,0.85471,""
"D09","Sciurus carolinensis",0.11965,0.29047,""
"D09","Sciurus vulgaris",0.29689,0.001635,"*"
