genome;EHI02068;EHI01529;EHI01552;EHI01494;EHI01469;EHI01518;EHI00418;EHI00365;EHI01550;EHI02023;EHI01464;EHI02008;EHI01470;EHI01523;EHI01527;EHI02025;EHI02007;EHI01463;EHI00361;EHI01507;EHI02016;EHI00420;EHI01495;EHI02300;EHI01475;EHI01524;EHI01480;EHI01501;EHI01558;EHI01519;EHI02013;EHI01478;EHI01520;EHI01514;EHI00393;EHI01458;EHI01467;EHI00416;EHI01517;EHI02297;EHI00376;EHI01465;EHI02032;EHI02021;EHI01492;EHI01528;EHI01455;EHI02273;EHI01471;EHI01557;EHI01453;EHI02303;EHI00394;EHI02009;EHI02256;EHI00276;EHI01997;EHI01728;EHI00408;EHI02235;EHI01551;EHI01486;EHI00400;EHI02037;EHI02017;EHI01468;EHI02020;EHI01516;EHI01476;EHI01559;EHI01998;EHI01504;EHI01549;EHI00144;EHI01996;EHI00411;EHI02031;EHI02022;EHI02033;EHI02024;EHI02028;EHI00161;EHI02014;EHI02018;EHI00381;EHI02011;EHI01515;EHI02036;EHI02274;EHI00406;EHI02027;EHI01510;EHI01454;EHI02240;EHI01525;EHI00367;EHI01771;EHI01491;EHI02026;EHI02003;EHI02001;EHI00363;EHI01503;EHI01511;EHI01472;EHI00375;EHI00371;EHI02304;EHI02242;EHI01831;EHI00404;EHI02038;EHI02029;EHI01493;EHI02292;EHI00368;EHI01462;EHI01459;EHI00169;EHI01999;EHI01554;EHI01461;EHI02263;EHI02005;EHI00385;EHI00389;EHI02000;EHI02015;EHI01508;EHI02291;EHI01530;EHI01506;EHI01460;EHI01496;EHI02019;EHI01770;EHI02255;EHI01512;EHI01473;EHI00405;EHI02034;EHI01487;EHI01484;EHI02035;EHI02006;EHI02002;EHI00413;EHI00392;EHI01553;EHI02030;EHI02012;EHI02241;EHI01526;EHI01556;EHI02305;EHI01498;EHI00377;EHI00391;EHI02306;EHI02302;EHI02039;EHI02301;EHI01500;EHI01521;EHI01505;EHI00398;EHI00380;EHI01485;EHI00414;EHI01474;EHI01456;EHI00382;EHI01499;EHI01497;EHI01482;EHI02004;EHI00387;EHI00410;EHI00383;EHI00402;EHI00417;EHI01457;EHI00142;EHI00399;EHI01522;EHI00374;EHI01483;EHI01502;EHI02078;EHI01513
EHA02404_bin.26;470504;2796;166;167205;170377;1;486;84;178897;168;360653;1253;37;47432;74483;217272;6;93033;11;6046;6;1;24;5;1258188;3;9862996;5;46;12;16779;19;388;35380;16106;175;1921104;548610;183;16;176717;45725;337180;0;1;24;263006;277;23699;2538;391600;67;9;9;0;30865;90;114;138345;7;31103;0;28;55;0;12820;350;89;10;630;2;480;20587;36252;48;1345;83;0;0;9216;13;397197;22908;10942;214;180;69;202586;10;553341;11034;70601;5;0;13;3;43;2456;38333;72355;10446;1;30384;1;37;53590;1;31;2;35;168839;6;19261;1;64;0;116;79326;288174;124;192;14;1;235;201623;20;9808;5;21555;2;16;449;42;161;49556;8;17;53;55002;371;161163;5;52;6;66951;751529;28;106664;17;0;24;15;2212;164863;1;2;113128;97;35;19;20;41;5;7;88216;70276;66944;129;152818;11;253791;795672;2784;189767;199523;31919;158387;96;104;11666;402973;140;16339;143310;116;12;11;13735;655116;18966
EHA02404_bin.2;3586;3560;908;38548;11910;0;573;619;234458;3480;9370;5090;264;7646;3373;48267;315;210445;1;3665;256;0;2236;119;6852;0;9249;80;647;10380;6293;2;283;4876;28539;2986;249010;119365;1799;462;54108;97612;10610;2;2;16;5531;4266;9216;8054;2242229;306;214;139;292;4126;3046;610;3899;116;2811;90;864;880;342;15109;229;458;1526;1556;1621;540;22551;39531;1717;164;500;41;643;18271;1844;697982;5105;3658;182;264;294;9092;4;238034;3160;23209;586;61;8;0;40;3335;5233;9956;3775;6;14847;101;352;9097;0;1352;245;273;2306;1411;9427;4;5854;4;1111;66284;110371;63;496;729;10;2016;4197;553;4427;695;3840;0;216;695;1323;669;6828;248;6777;26813;3583;26833;6592;420;61;349;8857;5786;248;483152;673;13;448;42;6627;7344;345;61;3739;279;269;18;444;285;338;96;3959;217544;8676;211;667803;813;1874;13299;10164;3766;4479;16620;11058;680;912;11495;3209;104;4797;211082;3;593;171;6657;7644;4878
EHA02404_bin.33;497306;8408;909;9985;9564;18;802;1535;45119;12458;16632;2374;1842;7117;6699;8573;957;33418;147;6681;14;0;1078;572;7590;2;23670;12;2602;1461;6397;36;2836;25898;47439;5138;46490;15450;1180;857;5444;28058;24527;14;2;181;43708;524;10539;5668;481011;154;3696;1489;1285;3711;49709;5262;99892;325;40199;362;1030;4280;1196;2340;1173;952;1643;246;900;164;16921;4159;1141;1209;9939;193;218;8324;4178;10215;9875;5518;2053;567;3869;9139;6;149662;7730;19030;959;323;3;10;171;9102;4871;8050;3144;18;8025;150;2380;1831;54;939;222;814;20263;385;5996;382;2634;2;10649;7838;18848;52;599;85;27;634;47757;737;2187;921;6053;0;421;1014;3134;1226;14202;1813;4883;5242;4317;4793;8567;279;304;1531;14024;191793;166;148860;1123;182;991;287;6086;14855;390;22;5591;624;563;189;2599;2639;620;279;11543;54812;3216;254;114620;709;6411;41447;4986;35015;21856;14825;7461;3544;1339;7845;20248;257;4871;7806;11;518;496;7606;11592;8182
EHA02405_bin.1;432;930;437;1665;1356;0;73;1073;121419;81;3101;1473;134;1447;1472;45729;290;1261;1;1320;12;0;253;20;1864;0;9423;14;390;6310;1335;2;140;2571;165350;1167;7143;6291;461;850;1396;13900;4755;10;0;55;409641;555;2423;2470;1111;29;1594;115;512;777;168;189;67412;494;1623;5;12;11248;77;658;90;45;226;135;453;446;1290;853;468;714;253;6;62;603770;10702;162130;1282187;1210;171;459;82;1735;13;7084;54875;1717;1777;209;0;0;40;1859;1942;785;2201;0;3234;58;220;48766;22;276;137;149;372;582;1611;6;1115;0;386;3835;144815;31;60;662;6;175;379225;1490;593;144;2224;0;195;271;191;86;1939;39;405;3290;707;130;5305;390;27;304;1149;685;166;23981;141;5;207;24;3546;1138;123;0;1083;83;276;96;19804;47;40;501;40927;1211;626;89;662;525;1417;14147;941;908;1550;2943268;77544;96;432;73834;6934;219;2765;99485;13;9291;3;1619;1053;1387
EHA02405_bin.24;2016;563;63;22873;1899;0;30;11;233;125;2353;316;22;4060;679;3097;25;9440;5;587;0;0;101;0;10527;0;39677;0;26;49;3427;0;280;2585;2698;99;44109;2683;17;182;493;6056;1673;0;0;4;92417;29;28120;1327;8161;4;13;1;17;597;4054;239;6116;6;17184;0;50;18;105;382;7;14;4;64;124;5;14130;23188;4166;70;1394;17;7;3598;704;12665;3023;2076;360;9;33;11920;3;637;1265;20393;5;4;0;3;0;417;737;3544;266;8;292;0;106;340;0;22;1;19;11237;22;753;22;106;0;45;6288;4716;2;15;7;1;283;4172;235;1922;0;1339;0;3;5;113;7;9009;111;33;626;1134;61;1061;1;0;0;3851;3781;7;5642;28;96;40;1;685;4253;21;0;2184;21;2;5;70;19;416;1;2732;3528;542;1;5565;16;3078;14866;267;2042;6353;417;580;582;30;11917;1887;5;2156;3679;0;12;19;545;349;830
EHA02405_bin.26;1699;795;84;14486;1610;0;77;162;651;38;4268;1644;38;125753;283;4399;56;1030;1;1979;0;0;146;44;1394;0;3318;0;89;229;800;0;37;779;626;450;8397;385;127;94;1343;1512;77040;2;6;2;585165;43;1318;1938;2055;102;39;9;72;1427;251;48;854;15;1687;4;30;148;60;18359;49;36;279;120;39;27;6045;1214;130;72;130;1;246;1090;96;6553;1008;1352;48;17;81;4550;2;765;30838;1229;84;10;0;0;2;1238;1551;1264;2145;0;3138;5;56;816;4;248;15;382;331831;534;1532;2;75;0;307;1362;1709481;1;15;92;0;212;7086;80;1834;21;1426;10;91;330;91;42;1193;24;103;411;16149;113;53278;62;7;40;1289;19339;24;4878;139;1;63;4;1680;1800;55;0;1078;155;139;19;30;49;17;30;8151;7755;1062;142;10816;89;498;2237;1075;878;58200;910;1288;104;221;5904;3960;24;1317;474;0;29;19;1822;1634;1167
EHA02405_bin.30;10917;5948;34420;32239;358;0;22;46681;14096;22876;751;18;111642;76638;26919;8972;16049;97715;17;7862;40;0;22;36;527;4;14623;0;783;9873;20875;0;11876;5851;5316;111;283230;15450;631;48965;17662;39779;4129;0;0;48057;42220;21447;4791;1038;71077;72;8485;5797;592;5014;9314;22369;25888;4;215;21;740;7152;9;43934;47890;47960;82;13503;526;59565;8251;38795;45;17959;8609;380;18686;4660;5858;22156;13784;19732;38831;161;178;32015;2;26372;4829;10137;153;0;12;18;2288;4340;6760;11336;2301;8;24801;2;24;659;36;31415;135;1756;20744;249;6215;0;148;2;37;30730;45132;334;4014;7;349;169;36226;14690;5281;43519;22253;830;27662;0;59;177;32258;1033;5217;177824;22470;2948;20601;149257;51;17;23993;36923;23316;10032;12;1;81619;287;12119;73844;0;8;733;9255;3244;2635;5948;30366;23663;19924;14552;38053;2437;3257;26426;1506;294;30181;9344;2740;26610;9368;10469;11447;418;22998;34131;171867;11781;23855;274;4004;1060;4672;17381;6186
EHA02405_bin.36;8100;89820;227;35933;4136;0;46;772;1193;199;9368;83;1144;46644;88086;6798;117;36193;0;12214;4;0;0;0;7398;0;38069;1;190;155;42389;0;326;23134;9344;202;178629;32304;89;1051;20663;20526;27730;5;0;505;46276;1089;16567;13645;17163;58;821;77;0;4884;497;530;30746;4;706;0;14;146;0;20587;1118;645;0;128;3;995;34677;6189;40;242;382;2;73;43863;94;46177;15673;11608;743;37;38;38270;0;8397;26749;75566;17;0;2;0;53;33321;142983;29166;6434;0;67557;1;14;18366;0;392;1;35;41043;0;38562;2;15;0;40;18435;58595;16;292;113;5;16;12079;390;15602;423;5162;4;327;1;13;16;48876;32;48;3197;50848;471;28580;1920;15;0;81260;4383;404;6638;1;6;868;50;15323;42791;4;0;1517;72;95;42;303;389;189;473;20337;16144;7477;143;11957;474;4376;33867;52281;29892;23637;197823;130539;565;38;21708;21372;2449;61713;13315;31;99;60;18172;35286;163467
EHA02405_bin.39;18025;12253;1752;47282;77696;0;2687;4119;7321;1608;78198;55397;2513;76442;15940;23995;826;10509;0;24241;5;4;3713;667;67480;0;234275;0;3361;37139;34819;0;1420;26178;14973;7110;60908;11204;1244;9573;12293;16786;88945;4;0;82;67073;920;120767;28774;30547;489;1941;161;5346;15386;3444;2616;14505;905;30391;55;1119;3345;924;22797;940;1008;5611;6512;2396;303;165079;14313;1465;2802;1653;408;1615;20401;5759;6231;22966;24913;1728;190;2286;25415;26;14593;20373;51656;457;1429;28;2;177;20002;66673;84861;30009;4;51579;563;458;12401;8;4472;724;8058;8315;3051;12576;44;1705;6;4453;19185;9108;420;497;5049;154;1218;21614;2752;45637;1500;27147;4;3257;634;1836;2118;13937;353;2296;22573;11316;2005;30356;759;384;1064;59664;10843;624;9629;1163;29;2145;177;32298;49084;523;0;25545;5973;3923;186;761;574;326;1907;20645;11242;14713;640;14013;2414;8845;68167;59659;13872;19577;66046;83250;4220;3490;14760;29481;800;14797;24645;9;10110;1267;12420;52065;36209
EHA02405_bin.43;25079;9739;120;24694;29217;0;122;204;2838;2263;43262;3345;424;31131;5521;20031;115;15346;2;13692;8;2;86;37;46262;0;4093;0;414;277;14772;0;752;13731;1987;436;6148;2935;311;586;5512;10057;57183;0;2;46;59475;225;40124;7011;16240;37;884;298;202;5376;9781;1332;39211;1195;39431;8;190;10328;189;7800;6386;92;109;19;70;76;52868;18487;406;228;1946;5;11;27735;1562;18091;13438;17579;476;315;442;77305;0;5485;7016;2676;229;22;0;0;36;15776;83167;14351;5431;4;10828;21;551;4088;0;218;19;320;7590;4;12075;0;710;0;3426;11072;10292;8;197;112;1;698;49866;155;6536;171;10237;0;109;139;236;531;12184;237;832;4015;74940;1070;18716;45;56;102;18047;8182;79;6408;337;4;205;224;12746;28490;47;0;2879;195;1696;21;22758;520;96;180;15267;5464;4107;104;6015;87;7200;85461;9450;7095;12271;3298;14260;4041;377;11124;27381;80;665;1325;6;980;82;13707;2299;41714
