Genome;EHI02068;EHI01529;EHI01552;EHI01494;EHI01469;EHI01518;EHI00418;EHI00365;EHI01550;EHI02023;EHI01464;EHI02008;EHI01470;EHI01523;EHI01527;EHI02025;EHI02007;EHI01463;EHI00361;EHI01507;EHI02016;EHI00420;EHI01495;EHI02300;EHI01475;EHI01524;EHI01480;EHI01501;EHI01558;EHI01519;EHI02013;EHI01478;EHI01520;EHI01514;EHI00393;EHI01458;EHI01467;EHI00416;EHI01517;EHI02297;EHI00376;EHI01465;EHI02032;EHI02021;EHI01492;EHI01528;EHI01455;EHI02273;EHI01471;EHI01557;EHI01453;EHI02303;EHI00394;EHI02009;EHI02256;EHI00276;EHI01997;EHI01728;EHI00408;EHI02235;EHI01551;EHI01486;EHI00400;EHI02037;EHI02017;EHI01468;EHI02020;EHI01516;EHI01476;EHI01559;EHI01998;EHI01504;EHI01549;EHI00144;EHI01996;EHI00411;EHI02031;EHI02022;EHI02033;EHI02024;EHI02028;EHI00161;EHI02014;EHI02018;EHI00381;EHI02011;EHI01515;EHI02036;EHI02274;EHI00406;EHI02027;EHI01510;EHI01454;EHI02240;EHI01525;EHI00367;EHI01771;EHI01491;EHI02026;EHI02003;EHI02001;EHI00363;EHI01503;EHI01511;EHI01472;EHI00375;EHI00371;EHI02304;EHI02242;EHI01831;EHI00404;EHI02038;EHI02029;EHI01493;EHI02292;EHI00368;EHI01462;EHI01459;EHI00169;EHI01999;EHI01554;EHI01461;EHI02263;EHI02005;EHI00385;EHI00389;EHI02000;EHI02015;EHI01508;EHI02291;EHI01530;EHI01506;EHI01460;EHI01496;EHI02019;EHI01770;EHI02255;EHI01512;EHI01473;EHI00405;EHI02034;EHI01487;EHI01484;EHI02035;EHI02006;EHI02002;EHI00413;EHI00392;EHI01553;EHI02030;EHI02012;EHI02241;EHI01526;EHI01556;EHI02305;EHI01498;EHI00377;EHI00391;EHI02306;EHI02302;EHI02039;EHI02301;EHI01500;EHI01521;EHI01505;EHI00398;EHI00380;EHI01485;EHI00414;EHI01474;EHI01456;EHI00382;EHI01499;EHI01497;EHI01482;EHI02004;EHI00387;EHI00410;EHI00383;EHI00402;EHI00417;EHI01457;EHI00142;EHI00399;EHI01522;EHI00374;EHI01483;EHI01502;EHI02078;EHI01513
EHA02404_bin.26;0.9967943;0.016490528;0.0016832829;0.9920155;0.9919335;6.720587e-05;0.009041877;0.0021142967;0.9774224;0.0031931747;0.99655277;0.047805324;0.0009144478;0.8309253;0.8657563;0.9916786;0.00019220878;0.9612876;0.0004843303;0.18447965;0.00035663912;6.720587e-05;0.00087994884;0.00028808916;0.99737227;0.0002016176;0.99834627;0.00021461073;0.0007549459;0.00042474107;0.5217514;0.0007415047;0.0031447865;0.75394946;0.44276837;0.0018463691;0.99750173;0.99657965;0.00621251;0.0006505528;0.932916;0.83171606;0.9973978;0;6.720587e-05;0.0006339753;0.9379403;0.0042568194;0.6289627;0.080568634;0.99978137;0.0004457989;0.00035215874;0.00030153032;0;0.71327424;0.0031703247;0.002887164;0.9848832;0.0002876411;0.5722324;0;0.0008432096;0.0011335389;0;0.42162946;0.0061645703;0.0036264285;0.0004995636;0.0029073257;2.6882346e-05;0.01809854;0.48638678;0.7470313;0.0021353543;0.005018934;0.002291272;0;0;0.32493946;0.0003172117;0.9989561;0.6223057;0.3750849;0.002932864;0.0077967765;0.0028558013;0.9310647;0.00035350287;0.9972602;0.3666573;0.9191088;0.0002715117;0;0.0007518096;0.00010573723;0.001340085;0.0913135;0.7957036;0.9567055;0.3580155;6.720587e-05;0.6193271;6.720587e-05;0.001385337;0.83656114;6.541371e-05;0.0010914233;9.005586e-05;0.0011545968;0.9365008;7.840685e-05;0.5689537;6.720587e-05;0.002624165;0;0.0033486444;0.9557696;0.995352;0.005016694;0.0034387002;0.0007311998;6.720587e-05;0.00629943;0.93574315;0.000882189;0.34304473;0.00013799604;0.5558028;8.467939e-05;0.0006173979;0.010083568;0.0017513849;0.0027294543;0.89519113;0.00026658326;0.00085620274;0.0021044398;0.8453884;0.006246113;0.9871619;0.0002016176;0.0025605436;0.00021013034;0.94273794;0.99706805;0.001271087;0.9587177;0.00021909113;0;0.0006138136;0.0008678518;0.04804861;0.96922064;6.720587e-05;0.00013441173;0.97191286;0.0027989002;0.00083693705;0.00072671945;0.0004906028;0.0015278134;8.512743e-05;0.00031541954;0.95965093;0.8855408;0.88109535;0.0019077505;0.99628216;0.00032438032;0.99529916;0.9981182;0.10133256;0.9397186;0.9945653;0.73777974;0.93228114;0.0036452461;0.0034669267;0.361594;0.9512242;0.0013373968;0.3370679;0.9284943;0.004252787;0.0004063715;0.00031676365;0.42279166;0.9965367;0.546653
EHA02404_bin.2;0.035493765;0.020260826;0.017054405;0.62011325;0.029423378;0;0.004668073;0.006098479;0.95592445;0.066536926;0.04114974;0.040278304;0.003668493;0.039949425;0.014572972;0.7569787;0.004437668;0.9738963;4.734354e-05;0.017669871;0.0003692796;0;0.0060116826;0.0017352985;0.022036523;0;0.023994653;0.001126145;0.0039137327;0.1352264;0.026768353;7.164655e-05;0.004300687;0.017020317;0.5603038;0.012376232;0.5209194;0.92022425;0.006094376;0.0051856954;0.036464624;0.8933268;0.028243892;6.6280954e-05;5.8390364e-05;0.00029226745;0.028010014;0.07003309;0.021851568;0.019720478;0.99952877;0.0038761734;0.0023220428;0.0027727531;0.0026821692;0.02319865;0.05493176;0.005110893;0.0892432;0.0023671768;0.016685441;0.0009074178;0.0035826433;0.0069348817;0.0035204655;0.34709853;0.0045149955;0.0027759094;0.0060937447;0.019272292;0.0043833805;0.0017311954;0.028237265;0.67632484;0.018445043;0.0036044214;0.0046462948;0.0011062607;0.0022450306;0.045389514;0.013401693;0.9871159;0.020839995;0.023719745;0.0033894817;0.003050502;0.004672176;0.021564035;6.7227826e-05;0.9287893;0.020758564;0.19132407;0.004410524;0.0011315106;0.00011299324;0;0.0011024732;0.022004645;0.02151827;0.022936998;0.024180554;9.62652e-05;0.022966666;0.0016579707;0.0045885355;0.04290871;0;0.0065173116;0.0039522387;0.0040251478;0.027848732;0.0043698084;0.03510113;0.0001297213;0.032883875;3.3140477e-05;0.008184751;0.8574934;0.91050684;0.0010081017;0.010099639;0.00307733;0.0002635457;0.007816418;0.026829267;0.0054350384;0.021119952;0.0030075773;0.02114962;0;0.0035072092;0.008152558;0.005569178;0.0045733857;0.030751837;0.0016194646;0.11011097;0.20996481;0.037238847;0.23145182;0.03738214;0.0043095243;0.0014597591;0.0036877461;0.023050938;0.018996436;0.0015124682;0.9354768;0.0071233087;0.0002139928;0.0055717034;0.00110847;0.015790649;0.02532532;0.006381593;0.00032887977;0.016688282;0.0052141016;0.0032622854;0.0003222517;0.0038727014;0.005271545;0.0041135224;0.0024719639;0.021977501;0.98174876;0.042230435;0.0040664943;0.9862183;0.008807161;0.010686384;0.036879987;0.047778152;0.020173082;0.091182075;0.046499245;0.0444701;0.009457345;0.0049846433;0.22673672;0.024571927;0.0021992652;0.01746503;0.92673874;9.815893e-05;0.0062196786;0.0024757513;0.03732028;0.034563623;0.021636944
EHA02404_bin.33;0.9639615;0.11829068;0.013776308;0.20048608;0.110872604;8.1979306e-05;0.018258264;0.03625798;0.6801062;0.17028995;0.12995906;0.03974399;0.040287994;0.13858077;0.09512206;0.18415286;0.023425903;0.52993315;0.00015218723;0.0992492;0.00058604695;0;0.02485991;0.0095096;0.08392915;5.086921e-05;0.20149463;0.0003258152;0.028433368;0.034394313;0.12099516;0.00018413815;0.07486308;0.101814516;0.80166686;0.059960507;0.58789545;0.45213145;0.024951559;0.019170966;0.08696239;0.35525376;0.5668037;0.00036533343;5.8016125e-05;0.005441324;0.56789297;0.018009383;0.13184543;0.0843916;0.9975154;0.005031848;0.08889037;0.033277713;0.01838943;0.06897277;0.26113394;0.093633406;0.8659109;0.010341165;0.4307323;0.007012384;0.023351911;0.08103802;0.024761535;0.05276945;0.032028265;0.020464558;0.0071750814;0.0034242126;0.014962696;0.0060311547;0.15275057;0.098129235;0.03424885;0.039655704;0.1079163;0.0025119302;0.0031034423;0.14852759;0.09494549;0.15470505;0.21132205;0.112896435;0.045303866;0.018377239;0.04599838;0.1423804;0.00024593793;0.9658058;0.21070701;0.15979701;0.0265037;0.0048834444;9.37507e-05;0.0003199295;0.0046282574;0.12155219;0.08126294;0.13893937;0.06679127;0.00022870125;0.09086545;0.0045593106;0.07210437;0.041558884;0.0005431655;0.02088034;0.004629519;0.017204303;0.49058142;0.0034073964;0.108624265;0.0016849901;0.056131024;6.390182e-05;0.11187022;0.25176686;0.37942547;0.0014617541;0.016126802;0.0030786383;0.0013629586;0.013839789;0.8271855;0.023569262;0.055626955;0.023635264;0.112106495;0;0.011343834;0.025342958;0.036555205;0.025523312;0.19827221;0.0401089;0.09633662;0.08194357;0.06515631;0.09707905;0.104677066;0.008679297;0.008469094;0.005755788;0.26990488;0.972653;0.0057339272;0.96617365;0.025942877;0.0019069648;0.024495838;0.009916553;0.0896841;0.17252272;0.007474411;6.9787515e-05;0.071742825;0.015558411;0.014722222;0.003929121;0.05683184;0.05116728;0.014898794;0.009931268;0.26450604;0.8598974;0.07282453;0.0077607078;0.97136444;0.016400065;0.096773;0.65261036;0.09203628;0.27359563;0.40582785;0.26112553;0.121959984;0.08062392;0.029755546;0.18566799;0.5071202;0.010038892;0.12890847;0.16929148;0.00043385974;0.01161836;0.010580376;0.12454465;0.28551206;0.1289875
EHA02405_bin.1;0.0073201526;0.008919364;0.0027971314;0.0148367;0.013905314;0;0.0020574646;0.021338968;0.9692167;0.0025884092;0.015228213;0.00952045;0.0022028473;0.013474692;0.0334508;0.2823887;0.006290145;0.023137974;6.33393e-05;0.010595092;0.00039576433;0;0.0023818128;0.00058153126;0.013706794;0;0.014227962;0.000380886;0.002450253;0.07547111;0.012066774;0.00011902687;0.0027490957;0.010935593;0.9968858;0.004442678;0.016901815;0.24276763;0.003247308;0.014435834;0.0116268;0.4231469;0.14502148;0.0004735569;0;0.0012952674;0.9997394;0.011598318;0.012706543;0.010536004;0.016891189;0.0008030063;0.02518056;0.001758622;0.003402468;0.008791835;0.0033637844;0.0037986576;0.94001895;0.0020251572;0.009964249;0.00016111137;0.0005696286;0.07928252;0.0018402404;0.01756454;0.002375011;0.0014827347;0.0020515132;0.0021794671;0.0038322401;0.0066727316;0.010877356;0.01069414;0.0051729926;0.018208561;0.0025038153;0.00029076563;0.0013479793;0.9363134;0.07692026;0.9948253;0.9379041;0.021649288;0.0037535974;0.010021637;0.002174791;0.025190761;0.00050203834;0.13609362;0.8785246;0.011798538;0.0013433032;0.0027172135;0;0;0.0011078;0.0128910355;0.011897586;0.010624848;0.014213509;0;0.011233586;0.0012144991;0.0032698382;0.8326584;0.00086507027;0.003818637;0.0016145145;0.0021722403;0.007893607;0.003011805;0.04478981;0.00032094747;0.018276576;0;0.0018755234;0.14274766;0.9946179;0.0010597643;0.0010406349;0.0026883068;0.00020702173;0.002772901;0.9983323;0.032409742;0.009248813;0.0010593391;0.050550286;0;0.0015779563;0.0023490803;0.002267887;0.0015290702;0.012607496;0.0011035491;0.011440183;0.04600984;0.00980909;0.002754622;0.16849443;0.003597162;0.0009377617;0.002401367;0.010901586;0.007238959;0.002653449;0.22885424;0.0024859612;0.00019469396;0.0029123325;0.00082638656;0.012175598;0.010746001;0.0008425402;0;0.009608019;0.0020872212;0.002400517;0.003450079;0.111960925;0.0013760356;0.00095476554;0.01381987;0.7973457;0.039279718;0.007392419;0.0029170085;0.01012196;0.004199948;0.007756726;0.3931428;0.009349136;0.010819542;0.022460371;0.9373417;0.89973134;0.002245782;0.0033021455;0.9450568;0.2380142;0.0027482454;0.033365782;0.9829906;0.00046633027;0.09792553;0.00012880408;0.010393596;0.009352111;0.01045396
EHA02405_bin.24;0.086060315;0.022690227;0.0009838808;0.6168357;0.07677024;0;0.0007552428;0.0004779271;0.0069432184;0.007007139;0.09732995;0.012146822;0.00094995386;0.14538915;0.026427599;0.12880479;0.00078720297;0.36646536;0.0001612758;0.0208921;0;0;0.0030494896;0;0.29916564;0;0.6291753;0;0.0003672958;0.0008196548;0.14457147;0;0.0060168663;0.09082631;0.05024528;0.0023316154;0.7558525;0.12478175;0.00039188055;0.005065437;0.0060286666;0.24789469;0.053905457;0;0;9.391366e-05;0.97937787;0.0011249972;0.6802358;0.031051002;0.3350274;0.00018389376;0.0005349637;7.326249e-05;0.00054233905;0.015917627;0.08445198;0.007919724;0.22169966;0.000341236;0.3460738;0;0.0009838808;0.0005403723;0.0021782068;0.015653588;0.00029403332;0.00020946187;0.00015783394;0.0011938344;0.005166726;0.0003151762;0.35866165;0.6288695;0.16570303;0.0032879615;0.047657494;0.00062543544;0.00024093033;0.1368917;0.001640293;0.40833363;0.12185027;0.073897265;0.007657651;0.00057184073;0.0010123991;0.37264398;8.6046544e-05;0.024032554;0.055719316;0.51671493;0.00024633895;0.00023207982;0;9.391366e-05;0;0.014775421;0.02489056;0.14859107;0.009094874;0.00022716288;0.004740919;0;0.0053383275;0.012496416;0;0.00048284404;7.375418e-05;0.0004867776;0.34479392;0.00047989388;0.027346084;0.0007896614;0.0047109253;0;0.001728798;0.26187503;0.19455321;3.687709e-05;0.00076950196;0.00022126254;7.375418e-05;0.012039633;0.18786272;0.005225238;0.088681534;0;0.05711524;0;0.0001716014;0.00025420607;0.002561237;0.0002433888;0.21012664;0.004460161;0.0018777815;0.009945505;0.04270662;0.0018192698;0.037552677;7.129571e-05;0;0;0.16572614;0.14070036;0.00025469778;0.24399604;0.0006328109;0.0018841735;0.0013418344;7.375418e-05;0.023212407;0.14792384;0.0004331829;0;0.08542799;0.00066280423;0.00014750836;0.0002689569;0.000975522;0.00064116967;0.008266369;7.375418e-05;0.11603106;0.14523181;0.017041149;7.375418e-05;0.24139301;0.0004140068;0.13238187;0.44497275;0.008682834;0.07068994;0.2656016;0.01939145;0.021097139;0.025338003;0.0005428308;0.38768885;0.08164047;0.00034516957;0.026736382;0.1583935;0;0.00027387385;0.0007232827;0.018913522;0.009809306;0.033727296
EHA02405_bin.26;0.05950131;0.010353857;0.0012123268;0.40316713;0.015061094;0;0.0022106883;0.0019941397;0.006167971;0.001170567;0.0763034;0.008601235;0.0012295473;0.9920979;0.0038952888;0.16376701;0.0015085203;0.01672417;6.156347e-05;0.007573168;0;0;0.0022705297;0.0011176137;0.011592445;0;0.012326901;0;0.0016544645;0.0028362249;0.0077006;0;0.0014155293;0.009221605;0.0064391945;0.00572325;0.18462239;0.008008848;0.0024956884;0.002063883;0.007161166;0.038783696;0.9185997;6.24245e-05;0.0001778022;6.457707e-05;0.9998635;0.0014224176;0.0070044594;0.007091423;0.0534513;0.001875318;0.0010422738;0.00040683552;0.0009923342;0.00757489;0.0034122523;0.001871874;0.010071009;0.0005997057;0.011124907;0.00016746986;0.0010676741;0.0018779011;0.0017354011;0.51949024;0.0018154766;0.00071852753;0.0022709602;0.001217493;0.0012351441;0.0007426363;0.11471858;0.038224887;0.0025077427;0.0021331958;0.0027389287;6.199398e-05;0.0011313902;0.010259574;0.0023725615;0.19167206;0.007939105;0.009571613;0.0018757485;0.00061692623;0.002406572;0.014332234;9.126892e-05;0.012637301;0.7093076;0.010920413;0.0019502274;0.0002712237;0;0;0.00012915414;0.008093229;0.011604069;0.010896304;0.009100201;0;0.0078753885;0.00015584599;0.0018507787;0.0062075783;0.00012915414;0.0032189516;0.0008175457;0.0029107037;0.99865335;0.0025507943;0.006446083;0.00012915414;0.00231272;0;0.0036490348;0.043718673;0.9986615;6.457707e-05;0.000500257;0.0015640566;0;0.0028220178;0.21090999;0.0017857712;0.0065915966;0.0008558614;0.007899067;0.00052006065;0.002185288;0.0020918665;0.00217022;0.0018004086;0.011933842;0.0005566543;0.0029257718;0.0052819736;0.47662267;0.0017013905;0.86393183;0.0015580293;0.00040037782;0.001216632;0.01098585;0.5496968;0.0009191469;0.1779589;0.0018481957;6.371604e-05;0.0018580975;0.0001343203;0.008056635;0.0079451315;0.0014297363;0;0.0075938324;0.0029240495;0.0019170779;0.00052092166;0.00081108796;0.0014103631;0.00055148813;0.00091398077;0.24348697;0.27612293;0.006074119;0.0017745778;0.35443425;0.0023015267;0.006290667;0.012642899;0.00732347;0.007760011;0.9051014;0.008911636;0.006458998;0.0031599712;0.002980447;0.19339368;0.1077421;0.00088987197;0.011403019;0.010210065;0;0.000985446;0.00057387486;0.007454346;0.04044505;0.014376147
EHA02405_bin.30;0.3413772;0.030998563;0.37453762;0.6799194;0.0030105477;0;0.0010806724;0.46599403;0.2836507;0.16532695;0.003299402;0.000567582;0.43938807;0.93277794;0.49672928;0.31266585;0.17759387;0.73296833;0.0009596332;0.23003517;0.0020513968;0;0.00072382385;0.00044172062;0.0027800428;0.00014466832;0.09028943;0;0.0024718994;0.29273105;0.5616738;0;0.31552547;0.030986026;0.17516199;0.00135072;0.625609;0.48890176;0.004266751;0.46592942;0.4139366;0.8030355;0.13998058;0;0;0.45665762;0.8799417;0.3904786;0.1634212;0.03417982;0.4106608;0.0013994249;0.18475784;0.114775985;0.0016569345;0.17281403;0.08795111;0.40522802;0.647939;0.00025654514;0.0027096376;0.0005256282;0.0047533186;0.1692817;0.00015479511;0.8329732;0.4624053;0.4579823;0.0015706157;0.035663635;0.0014736879;0.4744388;0.22507304;0.62711835;0.0014645256;0.36943322;0.22877367;0.017435908;0.15744157;0.17202993;0.1921991;0.3841759;0.31535718;0.3772839;0.45460188;0.0019708648;0.004196828;0.39359188;9.789223e-05;0.6488326;0.16619979;0.031383865;0.0014191963;0;0.0006215916;0.000893568;0.089903645;0.11753674;0.1865469;0.28898942;0.07948029;0.0003076613;0.57021695;0.00014466832;0.00075854425;0.008110588;0.001463079;0.40812814;0.0012267873;0.053036854;0.47530055;0.00065438304;0.20259303;0;0.0021333755;7.47453e-05;0.0007913357;0.37679878;0.7726354;0.0018247498;0.0632133;0.00021169797;0.01730426;0.0020822594;0.48044398;0.3531865;0.22471137;0.3962065;0.56801796;0.007857901;0.41754702;0;0.0013695267;0.0020923861;0.4673076;0.040798876;0.116993755;0.5065397;0.6498906;0.04937385;0.52108854;0.51478195;0.0015995494;0.00084775634;0.38382;0.44312486;0.4097624;0.3680285;0.00036456416;7.088748e-05;0.4241892;0.0015503622;0.30448246;0.7764069;0;0.00023098709;0.002420301;0.15973648;0.08817534;0.06738747;0.17482346;0.4058424;0.39717048;0.3954089;0.34713212;0.55465543;0.034914736;0.12641793;0.38086346;0.0025148178;0.013367835;0.45476535;0.3433389;0.047844224;0.56673574;0.26741362;0.290263;0.31583747;0.00350676;0.47313243;0.7031425;0.5191495;0.30060485;0.6211402;0.014123486;0.117972195;0.003529907;0.1791018;0.3605472;0.1631931
EHA02405_bin.36;0.29386166;0.5059534;0.004925135;0.82141536;0.037014756;0;0.0009309164;0.010815599;0.031887893;0.0014358303;0.04015934;0.0045270184;0.006932331;0.63515437;0.4729779;0.29385036;0.0023762397;0.5916232;0;0.43473023;0.00022249436;0;0;0;0.037781917;0;0.47856933;8.8997745e-05;0.0010270339;0.0051452564;0.5106257;0;0.006867066;0.45587966;0.32351866;0.0027992756;0.9314664;0.6179475;0.0019917695;0.010184902;0.4527256;0.56016606;0.40194643;0.00031267875;0;0.0069483505;0.9371599;0.009494873;0.4147348;0.41017696;0.32776386;0.0007618207;0.006366305;0.0019075182;0;0.24106522;0.0086938925;0.013252357;0.7794256;0.00024266719;0.0090605635;0;0.001066193;0.0053796167;0;0.6816337;0.0125130825;0.0069596237;0;0.0013824316;0.00025453354;0.019219952;0.48322275;0.071420096;0.0014304904;0.0071388055;0.008905115;5.1618692e-05;0.0010768727;0.57068795;0.004777399;0.6110947;0.34125355;0.42979264;0.009103876;0.0017419825;0.0015343211;0.69449985;0;0.35196292;0.45262414;0.5061818;0.0003079322;0;0.00012815675;0;0.0022635092;0.5330935;0.5089378;0.47294527;0.30575055;0;0.71339995;8.8997745e-05;0.0010080477;0.48637682;0;0.008366974;8.8997745e-05;0.0011023853;0.48308212;0;0.57091933;0.00013349661;0.0006947757;0;0.0010246607;0.39551547;0.5621851;0.00036133084;0.0032187516;0.001064413;0.00036192415;0.0006680764;0.39229196;0.0074277516;0.48512906;0.004721627;0.2505239;0.00018689525;0.007399866;8.8997745e-05;0.00045982166;0.0006336639;0.5031831;0.0016565446;0.0012851274;0.01065303;0.537741;0.0041864538;0.6345877;0.008401387;0.00053932634;0;0.5078597;0.097659595;0.007046841;0.27784917;8.8997745e-05;0.00036192415;0.006928771;0.0013331862;0.27640802;0.69479054;0.00015663603;0;0.016210642;0.002033895;0.0031576399;0.0009083703;0.0070420946;0.0065585403;0.0055303196;0.008082182;0.46729332;0.46530867;0.28722003;0.0038998812;0.35235393;0.0009445627;0.20709834;0.7408398;0.8550974;0.47143826;0.43624735;0.86470443;0.7541455;0.0106417565;0.0011124718;0.44819975;0.47752866;0.009967747;0.43168178;0.4478497;0.001987023;0.0036957797;0.003536177;0.39385298;0.47964504;0.53095996
EHA02405_bin.39;0.2329982;0.2155461;0.017764423;0.53882074;0.36569425;0;0.04182531;0.0641948;0.11537954;0.022082116;0.38600388;0.301183;0.013775694;0.55328846;0.22968736;0.2900203;0.012589181;0.17430511;0;0.2727445;0.00019047421;0.0002170907;0.047407284;0.0076713697;0.36257806;0;0.3825633;0;0.022504652;0.16443165;0.32940352;0;0.02169285;0.2030193;0.24494277;0.0435009;0.22261278;0.2393088;0.017073227;0.15955709;0.15750886;0.2022046;0.4370435;0.00017550244;0;0.0026678867;0.93117934;0.013480833;0.4066699;0.21783845;0.33470395;0.007967478;0.014071386;0.004783065;0.0111635355;0.21660827;0.032460466;0.03522941;0.2857899;0.006904898;0.33989125;0.0020673522;0.014206132;0.019321488;0.010808372;0.33022863;0.01465986;0.008865369;0.018075919;0.07225918;0.020831557;0.005997858;0.3366324;0.2228095;0.026061697;0.048152547;0.019563532;0.0057558147;0.010860773;0.20122977;0.07141535;0.13596697;0.2949809;0.32377622;0.024276728;0.0061883326;0.03459727;0.23690334;0.0008737692;0.23664424;0.3262374;0.24493486;0.008443664;0.009055426;0.00063089386;9.149416e-05;0.0052879467;0.260958;0.3044568;0.28246576;0.3451871;0.00010646594;0.22374938;0.0047851447;0.012031898;0.22993772;0.0002462025;0.025893679;0.0076871733;0.15146942;0.1708799;0.014076793;0.1369468;0.001593662;0.030506233;0.00010272299;0.04462919;0.23643754;0.17977189;0.004940269;0.0126989735;0.029670725;0.0058552106;0.015474158;0.29272267;0.049246732;0.23247793;0.024307087;0.325473;0.00016760067;0.09370832;0.0061454964;0.02523201;0.027943565;0.25444943;0.007826494;0.032627232;0.22206216;0.2336241;0.03125399;0.35171604;0.014282239;0.006515632;0.011434275;0.30734718;0.105858326;0.009685073;0.15579958;0.016803734;0.0010509352;0.027376302;0.0049373577;0.27217516;0.33223692;0.009238415;0;0.19889833;0.12091619;0.07782078;0.004114742;0.013479169;0.010315967;0.00759152;0.064406484;0.37572744;0.26150694;0.22258408;0.018556679;0.18031129;0.0187143;0.14316341;0.43515912;0.3305185;0.24745552;0.37737018;0.35851696;0.24335451;0.10435491;0.039570395;0.31076825;0.45094353;0.014436947;0.2050089;0.20456348;0.00042004138;0.15073122;0.008900719;0.16338778;0.29586217;0.30961
EHA02405_bin.43;0.5381717;0.3605023;0.004713647;0.4993011;0.46118632;0;0.006677535;0.015050149;0.13425118;0.0753891;0.4901434;0.11292988;0.020276114;0.48777315;0.24090911;0.46679497;0.007369323;0.45318452;0.000188957;0.19883654;0.00072104094;9.882689e-05;0.00604109;0.0028106365;0.41605487;0;0.11241044;0;0.012926556;0.01762281;0.36159256;0;0.035260644;0.22613172;0.11007971;0.024038652;0.109096974;0.17553394;0.01440896;0.03560456;0.14489128;0.32442257;0.5290116;0;7.115536e-05;0.0031047454;0.96406573;0.014991643;0.46216115;0.12442068;0.43795094;0.0020136966;0.03890538;0.01538616;0.012490927;0.15624136;0.14542495;0.0678411;0.6491171;0.034302417;0.68588865;0.0008538643;0.011919313;0.2685925;0.009892967;0.23664849;0.22928707;0.006071133;0.0045713363;0.000673604;0.0047602933;0.00458873;0.47031873;0.42948267;0.025835719;0.01654204;0.05100495;0.0005652898;0.00075899047;0.45551527;0.08690283;0.43011755;0.44223133;0.4033062;0.024112178;0.019325005;0.022531739;0.4950049;0;0.23114106;0.24714549;0.09557983;0.01408797;0.0018682234;0;0;0.0029031385;0.24182306;0.45430323;0.39904875;0.12938337;0.00018263208;0.15213332;0.0012634029;0.037589002;0.12366801;0;0.012237931;0.0014879376;0.01602893;0.38435593;0.00035419557;0.34860197;0;0.036832385;0;0.079184845;0.3841322;0.46205443;0.00050520303;0.011768306;0.008854099;0.00011226734;0.024981854;0.5254254;0.012408704;0.23336506;0.011754074;0.19246654;0;0.00737802;0.0114907995;0.01198019;0.019697385;0.42523155;0.015775934;0.0389204;0.17452195;0.47872138;0.050793067;0.37246272;0.0031245109;0.0036700352;0.006661723;0.41261885;0.23834436;0.0072048753;0.28963947;0.016673282;0.0003660548;0.013022221;0.015250174;0.18118289;0.310605;0.002658048;0;0.09007478;0.012238721;0.09553081;0.0014167823;0.3106564;0.023595117;0.006673582;0.013932219;0.5191163;0.28529423;0.16843264;0.0074981935;0.29867065;0.0061628446;0.26143745;0.6810137;0.21375544;0.15321329;0.40118024;0.14813043;0.25223705;0.19763559;0.015256499;0.39186993;0.47184145;0.006090108;0.027835185;0.06959468;0.0005613367;0.066874966;0.006430863;0.21033998;0.10845025;0.4474581
