sample;sampleID;captureID;specimen;animal;sample_type;species;order;development;sampling_areaEHI;sampling_date;country;geographic_location;latitude;longitude;n_extractions;n_libraries;n_indexed_libraries;n_sequenced_datasets;host_data;metagenomic_data;n_MAGs;sex;bm;repro;sampling_site;area_type;macroarea;metapop;index200;index500;x;y;month;year;season;singlem_fraction;reads_post_fastp;host_reads;reads_lost_fastp_percent;metagenomic_bases;host_bases;bases_lost_fastp_percent;diversity;C
EHI00404;AAA17;SD0034401;SD00344;5608;Faecal;Sciurus carolinensis;Rodentia;Pregnant;Piobesi;2020-10-12;Italy;Piedmont, Piobesi;44.94;7.59;1;1;1;1;0.091;2.061;729;F;600;lactating;Piobesi;rural;PIO;PR;0.2;0.188;7.593432;44.937589;10;2020;autumn;0.7108;14706832;618028;0.015179150782368;2061009864;91305707;0.0391562015002948;19.4266916008715;0.724026113939847
EHI02036;AAA50;SD0037301;SD00373;5655;Faecal;Sciurus carolinensis;Rodentia;Adult;RS;2020-10-13;Italy;Piedmont, RS;44.95;7.6;1;1;1;1;0.325;6.139;0;F;470;nonbreeding;RS;suburban;RS;PR;0.2;0.224;7.594981;44.950145;10;2020;autumn;0.7015;44950742;2493734;0.0777989222878596;6138747407;324567704;0.115998847366841;18.9309570682132;0.849089965230377
EHI01455;AAA52;SD0035901;SD00359;5638;Faecal;Sciurus carolinensis;Rodentia;Adult;Piobesi;2020-10-12;Italy;Piedmont, Piobesi;44.94;7.59;1;1;1;1;0.141;4.547;560;F;565;nonbreeding;Piobesi;rural;PIO;PR;0.2;0.188;7.593432;44.937589;10;2020;autumn;0.7488;31565740;946758;0.0489193216858184;4547029497;141106098;0.0583049467087926;19.3733688411027;0.825508543596707
EHI01551;AAA54;SD0034601;SD00346;5610;Faecal;Sciurus carolinensis;Rodentia;Juvenile;RS;2020-10-12;Italy;Piedmont, RS;44.95;7.6;1;1;1;1;0.12;3.655;268;M;335;nonbreeding;RS;suburban;RS;PR;0.2;0.224;7.594981;44.950145;10;2020;autumn;0.7317;25771154;879508;0.0355228317488223;3655412429;120351562;0.0579549620932911;18.7248810017879;0.889566322617312
EHI00398;AAA55;SD0034101;SD00341;5604;Faecal;Sciurus carolinensis;Rodentia;Adult;Piobesi;2020-10-12;Italy;Piedmont, Piobesi;44.94;7.59;1;1;1;1;0.155;2.006;719;F;545;nonbreeding;Piobesi;rural;PIO;PR;0.2;0.188;7.593432;44.937589;10;2020;autumn;0.6751;14905282;1072460;0.0192304832532744;2006263064;155341452;0.0517742562424695;19.3376591581372;0.724638570160751
EHI00276;AAA57;SD0036601;SD00366;5646;Faecal;Sciurus carolinensis;Rodentia;Adult;RS;2020-10-12;Italy;Piedmont, RS;44.95;7.6;1;1;1;1;0.112;2.644;298;M;600;nonbreeding;RS;suburban;RS;PR;0.2;0.224;7.594981;44.950145;10;2020;autumn;0.7498;18754970;772424;0.0669518234939668;2643618639;111939479;0.0860845677150122;18.8010486675437;0.824056473971687
EHI01526;AAA66;SD0036301;SD00363;5642;Faecal;Sciurus carolinensis;Rodentia;Adult;RS;2020-10-12;Italy;Piedmont, RS;44.95;7.6;1;1;1;1;0.174;4.599;289;F;495;nonbreeding;RS;suburban;RS;PR;0.2;0.224;7.594981;44.950145;10;2020;autumn;0.766;32147464;1170735;0.0297114620187336;4598882145;173574448;0.0397044631159655;18.6855982321568;0.899948938063171
EHI00408;AAA67;SD0034301;SD00343;5607;Faecal;Sciurus carolinensis;Rodentia;Adult;Piobesi;2020-10-12;Italy;Piedmont, Piobesi;44.94;7.59;1;1;1;1;0.181;3.102;737;F;550;nonbreeding;Piobesi;rural;PIO;PR;0.2;0.188;7.593432;44.937589;10;2020;autumn;0.7108;22417552;1232906;0.014325151866343;3102053492;181491292;0.0375078996703828;19.3224820046976;0.790946583699608
EHI02003;AAA74;SD0046301;SD00463;5985;Faecal;Sciurus carolinensis;Rodentia;Adult;AddaNord;2020-11-10;Italy;Lombardy, AddaNord;45.56;9.53;1;1;1;1;0.515;4.071;0;F;630;nonbreeding;C03-02;rural;AN;AN;0.13;0.146;9.524899;45.563423;11;2020;autumn;0.6858;31370794;3463016;0.0391381560005636;4070643032;514715809;0.0636946472436797;19.2729985181846;0.790965273363592
EHI01557;AAA80;SD0034001;SD00340;5601;Faecal;Sciurus carolinensis;Rodentia;Adult;RS;2020-10-13;Italy;Piedmont, RS;44.95;7.6;1;1;1;1;0.075;4.654;277;F;525;nonbreeding;RS;suburban;RS;PR;0.2;0.224;7.594981;44.950145;10;2020;autumn;0.7578;32013626;529813;0.0422914600741502;4654266459;75416642;0.056722930631543;18.7114712307478;0.892440226346709
EHI01461;AAA86;SD0029801;SD00298;4386;Faecal;Sciurus vulgaris;Rodentia;Adult;Golasecca;2020-10-27;Italy;Lombardy, Golasecca;45.69;8.66;1;1;1;1;3.719;1.338;295;M;310;nonbreeding;GS;rural;GS;GS;0.0635;0.0985;8.65614;45.687981;10;2020;autumn;0.6917;34087750;24879732;0.0181562355082795;1338362043;3718641261;0.0289400813984636;17.5461986373375;0.893336410616511
EHI00417;AAA89;SD0034201;SD00342;5605;Faecal;Sciurus carolinensis;Rodentia;Adult;Piobesi;2020-10-12;Italy;Piedmont, Piobesi;44.94;7.59;1;1;1;1;0.102;3.519;730;M;530;nonbreeding;Piobesi;rural;PIO;PR;0.2;0.188;7.593432;44.937589;10;2020;autumn;0.6662;24981814;708804;0.0174257006724914;3518719755;102061795;0.0505928580662128;19.3730070361146;0.81030569149463
EHI00385;AAB02;SD0039101;SD00391;5675;Faecal;Sciurus carolinensis;Rodentia;Adult;commande;2020-10-28;Italy;Piedmont, commande;44.84;7.77;1;1;1;1;0.113;3.881;414;F;520;nonbreeding;commande;suburban;COM;COM;0.2;0.2;7.766891;44.838837;10;2020;autumn;0.6954;27273918;766208;0.0916005404450139;3880580385;112669950;0.113324692066179;19.2154681449264;0.827946736323244
EHI01492;AAB06;SD0038501;SD00385;5668;Faecal;Sciurus vulgaris;Rodentia;Adult;Golasecca;2020-10-19;Italy;Lombardy, Golasecca;45.69;8.66;1;1;1;1;1.135;3.307;295;F;280;nonbreeding;GS;rural;GS;GS;0.0635;0.0985;8.65614;45.687981;10;2020;autumn;0.6175;29890270;7598159;0.0398700556645485;3307414206;1135336149;0.0486050809527744;14.5653844738924;0.99196184595033
EHI00377;AAB12;SD0042001;SD00420;5771;Faecal;Sciurus carolinensis;Rodentia;Adult;commande;2020-10-28;Italy;Piedmont, commande;44.84;7.77;1;1;1;1;0.063;3.572;414;F;410;nonbreeding;commande;suburban;COM;COM;0.2;0.2;7.766891;44.838837;10;2020;autumn;0.6541;24803844;422792;0.0976956171027408;3571772990;63161926;0.118465211480102;19.1432119265046;0.852505381231261
EHI00414;AAB20;SD0037001;SD00370;5651;Faecal;Sciurus carolinensis;Rodentia;Adult;commande;2020-10-28;Italy;Piedmont, commande;44.84;7.77;1;1;1;1;0.063;2.518;406;F;590;nonbreeding;commande;suburban;COM;COM;0.2;0.2;7.766891;44.838837;10;2020;autumn;0.6759;17720486;427684;0.0126351376801307;2517961830;62575333;0.0414364780376034;19.3966272848134;0.761073576555171
EHI01480;AAB24;SD0044101;SD00441;5941;Faecal;Sciurus carolinensis;Rodentia;Adult;AddaNord;2020-11-10;Italy;Lombardy, AddaNord;45.57;9.53;1;1;1;1;0.606;25.019;539;M;530;nonbreeding;C03-03;urban;AN2;AN;0.59;0.631;9.529524;45.573628;11;2020;autumn;0.7421;172977692;4165312;0.0313045465474848;25018898098;605861753;0.0433221734558985;18.7383274104424;0.972522363853154
EHI01459;AAB38;SD0042101;SD00421;5772;Faecal;Sciurus carolinensis;Rodentia;Adult;commande;2020-10-28;Italy;Piedmont, commande;44.84;7.77;1;1;1;1;0.029;1.507;247;M;560;nonbreeding;commande;suburban;COM;COM;0.2;0.2;7.766891;44.838837;10;2020;autumn;0.7369;10359376;198176;0.0349416868446804;1507364232;29231598;0.0456924691852106;18.9435275601774;0.749426192150498
EHI01549;AAB39;SD0044001;SD00440;5939;Faecal;Sciurus carolinensis;Rodentia;Adult;AddaNord;2020-11-11;Italy;Lombardy, AddaNord;45.56;9.53;1;1;1;1;0.454;5.616;462;M;580;breeding;C03-02;rural;AN;AN;0.13;0.146;9.524899;45.563423;11;2020;autumn;0.7739;40801042;3021353;0.0348101953044809;5616181142;453750722;0.0427309266057032;18.7524641259123;0.915925818857137
EHI00402;AAB49;SD0037101;SD00371;5653;Faecal;Sciurus carolinensis;Rodentia;Adult;commande;2020-10-28;Italy;Piedmont, commande;44.84;7.77;1;1;1;1;0.02;2.459;401;F;535;nonbreeding;commande;suburban;COM;COM;0.2;0.2;7.766891;44.838837;10;2020;autumn;0.6483;17202422;150184;0.0697668558307024;2458908797;20056378;0.106321358303909;19.5512478414595;0.744503103144722
