genome,domain,phylum,class,order,family,genus,species,completeness,contamination,mag_size
EHA02488_bin.28,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Oliverpabstia,s__,64.72,1.25,2721610
EHA02470_bin.20,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__CAG-274,g__Gallispira,s__,97.18,0.23,2583149
EHA02526_bin.263,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Dysosmobacter,s__,55.23,0.75,1476612
EHA02450_bin.19,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__,98.04,1.89,3655587
EHA02500_bin.141,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides sp902362375,52.42,1.16,3454516
EHA02468_bin.7,d__Bacteria,p__Bacillota_A,c__Clostridia,o__UBA1381,f__UBA1381,g__CAG-41,s__,51.5,0.47,1667093
EHA02418_bin.67,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruminococcus_C,s__,94.28,1.23,2787008
EHA02565_bin.423,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__Caccovivens,s__,97.7,1.9,1225099
EHA02500_bin.71,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Bariatricus,s__,89.91,0.8,2950937
EHA02468_bin.3,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__,97.21,0.73,3958951
EHA02549_bin.121,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAG-303,s__,98.93,0.35,3081242
EHA02488_bin.314,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Choladocola,s__,92.92,2.93,3085438
EHA02488_bin.36,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Choladousia,s__,53.8,0.18,1988596
EHA02488_bin.160,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__JAHHTP01,s__,97.53,0.99,2242502
EHA02500_bin.224,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-449,g__CAG-449,s__,94.43,0.45,1654688
EHA02446_bin.13,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Coprococcus,s__Coprococcus sp900761435,99.97,1.33,3047019
EHA02559_bin.41,d__Bacteria,p__Actinomycetota,c__Actinomycetia,o__Actinomycetales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium longum,81.7,0.13,1888956
EHA02488_bin.180,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Copromonas,s__,89.27,1.07,2869337
EHA02513_bin.2,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__Onthocola_B,s__,86.7,2.41,1021671
EHA02428_bin.1,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__RUG626,s__,88.52,2.88,2286372
